Field=Comment~String~Comment~150|Field=Description~String~Description~269|Field=Designator~String~Designator~160|Field=Footprint~String~Footprint~85|Field=Quantity~Integer~Quantity~86|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SFCMasterD.PrjPCB|ReportField=ProjectFullPath~E:\SFC\SFCHW\SFCMasterD\SFCMasterD.PrjPCB|ReportField=Title~Bill of Materials For Project [SFCMasterD.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~329|ReportField=ReportTime~15:15:14|ReportField=ReportDate~2015/11/19|ReportField=ReportDateTime~2015/11/19 15:15:14|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~JACK|ReportField=CheckedBy~|ReportField=CompanyName~北京康洁之晨水处理技术有限公司|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2015/11/19|ReportField=CurrentTime~15:11:26|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SFC\SFCHW\SFCMasterD\drvamap.SchDoc|ReportField=DocumentName~drvamap.SchDoc|ReportField=DocumentNumber~6|ReportField=DrawnBy~郭相炳|ReportField=Engineer~|ReportField=ImagePath~E:\JKAdoc\data\LOGO.jpg|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2015/9/15|ReportField=Organization~北京康洁|ReportField=ProjectName~SFCMasterD.PrjPCB|ReportField=Revision~2.0|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~JKA 2.0 原理图|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SFCMasterD.PrjPCB|ReportField=DataSourceFullPath~E:\SFC\SFCHW\SFCMasterD\SFCMasterD.PrjPCB
4.7K|Resistor|R26, R28, R37, R39, R50, R58, R61, R69, R72, R82, R83, R93, R94, R109|RESC2012M|14
470R|Resistor|R30, R41, R52, R63, R74, R85, R96, R106, R112, R118, R124, R130, R136, R142, R148, R154, R160, R166, R172|RESC2012M|19
51K|Resistor|R31, R42, R55, R64, R77, R88, R99|RESC2012M|7
5.1R|Resistor|R103, R104, R121, R122|RESC2012M|4
510R|Metal film Resistor|R107, R113, R119, R125, R131, R137, R143, R149, R155, R161, R167, R173|RESC3216M|12
120R|Resistor|R110|RESC2012M|1
6.8K|Resistor|R139|RESC2012M|1
10K|Potentiometer|RV1|3296W|1
STM32F103RBT6|STM32 ARM-based 32-bit MCU with 128 Kbytes Flash, 64-pin LQFP, Industrial Temperature|U2|LQFP64|1
VPC3+C(PQP44)|a communication chip with processor interface for  intelligent PROFIBUS DP-Slave applications|U3|PQFP44|1
ADM2486|Isolated RS-485 Transceiver|U4|RW-16_N|1
DM9161|网络芯片|U6|LQFP48_L|1
HCNR201|High-Linearity Analog  Optocouplers|U7|SO8WL|1
LMV321|Low voltag rail to rail output operational amplifiers|U8, U9|SOT-23-5|2
LM293D|Low-Power Dual Voltage Comparator|U10, U12, U15, U18|SO8_N|4
EL817C|4-Pin Phototransistor Optocoupler|U11, U13, U14, U16, U17, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32|SO-4LA|19
ASM1117-3.3|800mA Low-Dropout Linear Regulator|U33|SOT-223|1
ISO1050DUB|隔离型CAN接口芯片|U34|SO-8LA|1
8MHz@20pF|Crystal Oscillator|Y1|HC-49U|1
XATLS|贴片有源晶振|Y2, Y3|X-CP3225|2
